"HRHHID","HRHHID2","OCCURNUM","YYYYMM","PRDTIND1","PTERNHLY","GESTCEN","GTCBSA","PRTAGE","PRFTLF","PWCMPWGT","PRMLR"
"77",0,0,0,201204,46,-0.01,23,38300,23,2,4428.7545,1
"78",0,0,0,201204,46,-0.01,23,39740,43,1,3092.6378,1
"79",0,0,0,201204,46,-0.01,23,38300,27,1,3290.5871,1
"80",0,0,0,201204,46,-0.01,23,27780,22,2,4650.7967,1
"81",0,0,0,201204,46,3,23,37980,22,2,3534.1963,1
"82",0,0,0,201204,46,-0.01,23,37980,19,-1,3522.6611,3
"83",0,0,0,201204,46,3,23,37980,18,2,3292.4072,1
"84",0,0,0,201204,46,9,23,0,67,2,2811.8902,1
"85",0,0,0,201204,46,-0.01,23,42540,20,2,3449.3519,1
"86",0,0,0,201204,46,10,23,38300,42,1,3017.9277,1
"87",0,0,0,201204,46,10,23,38300,36,1,3016.8818,1
"88",0,0,0,201204,46,-0.01,58,12260,41,1,2727.5303,2
"89",0,0,0,201204,46,-0.01,58,12060,26,1,3277.3451,2
"90",0,0,0,201204,46,-0.01,58,12060,20,2,4092.3933,1
"91",0,0,0,201204,46,-0.01,58,12060,56,1,2741.0569,1
"92",0,0,0,201204,46,-0.01,58,12060,35,2,2806.0358,1
"93",0,0,0,201204,46,-0.01,58,12060,44,2,3148.3363,1
"94",0,0,0,201204,46,-0.01,58,12060,22,1,4394.5453,1
"95",0,0,0,201204,46,8.08,58,12060,32,1,3572.307,1
"96",0,0,0,201204,46,-0.01,58,12060,19,2,3584.0448,1
"97",0,0,0,201204,46,-0.01,58,12060,54,1,3982.6504,2
"98",0,0,0,201204,46,-0.01,58,12060,47,1,2852.5883,1
"99",0,0,0,201204,46,-0.01,58,0,34,1,3267.684,1
"100",0,0,0,201204,46,-0.01,58,12060,53,1,2857.3943,2
"101",0,0,0,201204,46,-0.01,58,12060,31,1,3410.3985,1
"102",0,0,0,201204,46,-0.01,58,17980,21,2,3420.0422,2
"103",0,0,0,201204,46,-0.01,58,17980,54,1,2899.9494,2
"104",0,0,0,201204,46,-0.01,58,0,53,1,3659.7446,1
"105",0,0,0,201204,46,-0.01,22,37980,49,1,2831.1851,1
"106",0,0,0,201204,46,-0.01,22,35620,37,1,3898.5063,1
"107",0,0,0,201204,46,-0.01,22,35620,39,1,3092.9006,1
